subject_id,ankle,arm-length,bicep,calf,chest,forearm,height,hip,leg-length,shoulder-breadth,shoulder-to-crotch,thigh,waist,wrist
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,24.34395409,52.90237808,33.29439545,38.7095108,102.5260239,27.59909439,177.6109924,108.0471344,81.73643494,35.91569138,67.8912735,57.8727951,92.28617096,16.70913124
-5OHO2b5mRDY1rvAf07sYYtekEEX7ViEGmvRr7l4tfc,22.00178337,46.76323318,28.28897095,35.64996338,99.25339508,24.81337547,164.3796234,92.128685,75.1272583,33.84877777,60.54138565,52.4183197,87.30789948,15.19203758
-5iHTazqnmWBsnUY6ymoCw1kORMymRDaUla1eNOjgvI,26.56500626,53.28859711,30.80095863,39.85494995,102.3912735,27.71979523,183.7188416,106.0441208,84.05552673,37.85645676,72.00437927,52.93408585,96.59641266,17.93659782
-60o95b9oEE83BDV3GpsAVPA4TFvxuPPqtXEY5PApy8,24.77956581,49.07775116,34.6131134,38.10426712,111.1640701,28.55040932,169.0591125,109.5294647,74.31023407,38.19779968,68.53671265,58.65667343,103.3951187,17.02985954
-67TrwlJ3GSsqPeHaa2Nb0iQ-BKZfIx4ERysQPZ0-SY,20.78885269,42.22955704,24.52714157,29.18135643,93.6277771,21.97903824,146.5166321,87.13410187,67.26985931,31.65919685,52.69727707,41.844944,74.40085602,15.12006092
-9Xvu9djN0oqidP9sUUQ-DZ6A0_upIBwARnNv7KTH3o,24.67411804,46.94625473,29.94060898,36.8180809,100.1549988,26.14387131,176.6648407,99.81765747,73.94376373,35.74426651,70.81084442,51.8191452,83.86980438,16.37206078
BdVKIwm3OGEfAEB56ar_HJqpYwmLXwhKKlyF0Gi4iU,25.46615601,51.16346359,29.09806252,37.15715027,92.72253418,27.15604591,178.9779816,97.87351227,82.3021698,37.23946381,66.8180542,49.03817368,78.92030334,17.39946365
CQBOT5zSJk5ZYlZ4cgBP2x4lzzLLdPC6sIbhUHYddI,24.3761158,45.99767303,29.44034195,37.11942673,113.5492706,25.03432465,160.1649017,106.7620697,72.85097504,35.0353508,60.52883148,54.90545654,107.03479,16.70637512
ENkfo777FGDxVRXMHmkujRtZle23u0_smgNc2pQuUY,24.88047028,46.43066406,29.91088295,39.2822876,94.17327881,25.1557579,162.0065918,102.3337402,75.34252167,33.0974617,59.27054596,55.39012527,85.31018829,16.61011314
EujjqWPZ_L0NO_RqgxJ79mA23Tjj33cYAoFaysL4I0,22.74253654,45.37940216,32.74854279,37.94465256,122.9625549,26.89884377,155.5457458,114.8029099,68.06900787,35.90962982,59.71751022,57.09695435,112.9394836,16.8020916
